Sample_ID,PixCorr,SSIM,MSE,PSNR,Binary_Accuracy,Dice_Coefficient,Jaccard_Index,Edge_Similarity,CLIP_Similarity,Inception_Distance
1,0.6786219935175248,0.8047611517244027,0.13669883,8.642352,0.8633011798469388,0.7515845134182928,0.6020307513776605,0.984016262755102,0.8994140625,34.1374
2,0.7800083755215587,0.8352287530616058,0.11415816,9.424931,0.8858418367346939,0.884217335058036,0.7924637681156549,0.9872847576530612,0.96142578125,30.046686
3,0.9997483927908086,0.9980491424426765,5.978954e-05,42.23375,0.9999402104591837,0.9997830331951979,0.9995661605191619,0.9998206313775511,0.9990234375,13.127035
4,0.8018583741704554,0.8574669634542591,0.09143814,10.388726,0.908561862244898,0.8669836483819823,0.765199590583027,0.9842155612244898,0.8896484375,25.226543
5,0.683406314584248,0.787969964365436,0.13343033,8.747455,0.866569674744898,0.7554695204350942,0.6070317544165011,0.9704838966836735,0.857421875,28.327654
6,0.7698651601748034,0.8176567769361751,0.1088369,9.632238,0.8911631058673469,0.8455817899050345,0.7324744035659959,0.9595224808673469,0.86767578125,20.536165
7,0.9033409602331764,0.9237059138793784,0.04928651,13.07272,0.9507134885204082,0.943257692219227,0.8926089977414918,0.9894770408163265,0.8740234375,22.186676
8,0.9952343689159484,0.9732733110905323,0.0023716518,26.249489,0.9976283482142857,0.9974108483277132,0.9948350694440127,0.9938815369897959,0.943359375,25.403368
9,0.9094578516526703,0.9304009234075836,0.04663584,13.312801,0.9533641581632653,0.9465020576129524,0.89843749999961,0.9935626594387755,0.93359375,24.955725
10,0.9779695004903115,0.9752495468308559,0.0059191645,22.277395,0.9940808354591837,0.9812393405337747,0.9631696428559484,0.9868463010204082,0.91064453125,16.333672
11,0.9113680893525056,0.9523461603007547,0.016621493,17.7933,0.9833785076530612,0.9166166766637506,0.8460686600205868,0.9877032844387755,0.93408203125,24.367216
12,0.9109384849696128,0.964900590754284,0.023577008,16.275114,0.9764229910714286,0.9208430913342784,0.853298611110053,0.9966119260204082,0.93994140625,24.219204
